Loci	ips
2310038E17Rik	2.87744
2310039E09Rik	5.31911
2310040M23Rik	2.68948
2310042D19Rik	4.33798
2310042E22Rik	4.17842
2310043L02Rik	3.5135
2310044G17Rik	6.45882
2310045A20Rik	5.03221
2310047C04Rik	7.42818
2310051M13Rik	3.53267
2310057N15Rik	2.60591
2310067E19Rik	5.54928
2310076L09Rik	4.61538
2310079F23Rik	6.06817
2410002I01Rik	6.60758
2410005O16Rik	5.65826
2410018L13Rik	5.83249
2410018L13Rik$2410018L13Rik	5.18529
2410066E13Rik	5.24013
2410131K14Rik	5.63544
2510009E07Rik	4.42855
2510027J23Rik	4.00439
2510048L02Rik	3.68789
2600010E01Rik	5.17663
2600011E07Rik	3.25028
2610003J06Rik	6.28956
2610008E11Rik	4.6144
2610020H08Rik	6.23172
2610021K21Rik	3.9347
2610024E20Rik	5.60767
2610028H24Rik	4.82932
2610034M16Rik	3.34183
2610044O15Rik	5.78063
2610109H07Rik	4.56409
2610110G12Rik	4.72468
2610301F02Rik	4.44402
2610528J11Rik	3.95355
2810002G02Rik	5.86799
2810002I04Rik	4.22524
2810006K23Rik	3.26006
2810007J24Rik	2.76021
2810022L02Rik	4.72059
2810030E01Rik	2.82096
2810046L04Rik	6.91
2810048G17Rik	5.75022
2810055F11Rik	5.15037
2810408A11Rik	5.59319
2810410C14Rik	4.37558
2810426N06Rik	5.39302
2810439F02Rik	4.87189
2810457I06Rik	5.08503
2810487A22Rik	4.20886
2900005J15Rik	4.59606
2900006K08Rik	3.3926
2900009I07Rik	3.1437
2900024O10Rik	5.25335
2900026A02Rik	4.13595
2900046G09Rik	4.50815
2900083I11Rik	4.34867
2900092C05Rik	2.62373
3-Mar	3.42777
3110002H16Rik	5.08116
3110003A22Rik	5.85003
3110007F17Rik	3.15363
3110032G18Rik	4.09779
3110035E14Rik	4.00413
3110049J23Rik	4.1445
3110057O12Rik	3.99819
3110070M22Rik	3.15608
3222401L13Rik	4.28173
3321401G04Rik	5.1081
3322402L07Rik	4.12972
3830403N18Rik	2.42294
4-Mar	4.57111
4-Sep	4.84634
4430402I18Rik	3.68027
4432416J03Rik	2.9331
4631422O05Rik	5.73593
4631426E05Rik	3.63814
4632404H12Rik	4.60503
4632415K11Rik	6.30973
4632417N05Rik	4.45721
4632428N05Rik	5.38987
4632433K11Rik	3.62813
4732415M23Rik	4.48494
4732429D16Rik	4.79302
4732435N03Rik	4.57076
4732454E20Rik	2.84598
4732466D17Rik	5.10758
4732473B16Rik	4.57699
4733401H21Rik	3.20796
4831426I19Rik	5.04986
4832428D23Rik	3.39581
4833401D15Rik	5.32285
4833409A17Rik	4.88499
4833413O15Rik	2.26833
4833420G17Rik	6.62215
4833422F24Rik	3.64447
4833423E24Rik	4.40083
4833424O15Rik	3.07458
4833427G06Rik	2.9973
4833430A08Rik	3.63922
4833442J19Rik	6.53959
4833446K15Rik	2.41488
4921501E09Rik	3.69914
4921504E06Rik	3.78201
4921504I05Rik	4.33165
4921506M07Rik	3.85828
4921507P07Rik	3.60088
4921510H08Rik	2.4054
4921510J17Rik	3.71694
4921511C04Rik	4.80878
4921511H03Rik	3.52024
4921513D23Rik	7.29706
4921515J06Rik	5.08289
4921517D21Rik	3.5721
4921517D22Rik	4.60281
