Loci	ips
Trp63	0
Trmt12	0
Trim9	0
Trim75	0
Trim7	0
Trim69	0
Trim68	0
Trim66	0
Trim65	0
Trim63	0
Trim62	0
Trim60$Trim60	0
Trim60	0
Trim47	0
Trim46	0
Trim42	0
Trim40	0
Trim31	0
Trim30$AI451617	0
Trim29	0
Trim16	0
Trim14	0
Trim10	0
Trib2	0
Trib1	0
Trhr2	0
Trhr	0
Trhde	0
Trex2	0
Treml4	0
Treml2$LOC100047904	0
Trem3	0
Trem1	0
Treh	0
Trat1	0
Traf6	0
Traf5	0
Traf3ip3	0
Traf1	0
Tpsg1	0
Tpsb2	0
Tpsab1	0
Tppp	0
Tph1	0
Tpcn2	0
Tpbpb	0
Tpbpa	0
Tox3	0
Tox2	0
Tor3a$LOC100047963	0
Tnxb	0
Tns4	0
Tnp1	0
Tnnt3	0
Tnnt2	0
Tnni3k	0
Tnni3	0
Tnni2	0
Tnni1	0
Tnnc2	0
Tnnc1	0
Tnmd	0
Tnk1	0
Tnfsf8	0
Tnfsf4	0
Tnfsf14	0
Tnfsf13b	0
Tnfsf10	0
Tnfrsf9	0
Tnfrsf8	0
Tnfrsf25	0
Tnfrsf19	0
Tnfrsf18	0
Tnfrsf17	0
Tnfrsf14	0
Tnfrsf13c	0
Tnfrsf13b	0
Tnfrsf11b	0
Tnfrsf11a	0
Tnfrsf10b	0
Tnfaip8l2	0
Tnfaip3	0
Tmub1	0
Tmtc2	0
Tmtc1	0
Tmprss4	0
Tmprss3	0
Tmprss2	0
Tmprss13	0
Tmprss11f	0
Tmprss11e	0
Tmprss11d	0
Tmprss11a	0
Tmod4	0
Tmod2$LOC100048637	0
Tmigd1	0
Tmie	0
Tmhs	0
Tmem91	0
Tmem86b	0
Tmem82	0
Tmem80	0
Tmem74	0
Tmem71	0
Tmem67	0
Tmem63c	0
Tmem62	0
Tmem59	0
Tmem56	0
Tmem54	0
Tmem53	0
Tmem46	0
Tmem45b	0
Tmem44	0
Tmem38a	0
Tmem35	0
Tmem28	0
