Loci	pips
2310033E01Rik_pips	4.01154
2310034C09Rik_pips	2.65168
2310035C23Rik_pips	6.07696
2310038E17Rik_pips	3.14457
2310039E09Rik_pips	4.82329
2310040M23Rik_pips	2.66363
2310042D19Rik_pips	4.61325
2310042E22Rik_pips	5.96786
2310043L02Rik_pips	3.37053
2310044G17Rik_pips	6.71274
2310047C04Rik_pips	6.52409
2310051M13Rik_pips	3.54999
2310057N15Rik_pips	3.8579
2310067E19Rik_pips	5.2207
2310076L09Rik_pips	4.37462
2310079F23Rik_pips	6.31726
2410002I01Rik_pips	6.4837
2410004F06Rik_pips	3.99172
2410005O16Rik_pips	6.43657
2410017P07Rik_pips	6.24794
2410018L13Rik$2410018L13Rik_pips	4.51644
2410066E13Rik_pips	4.87318
2410116G06Rik_pips	5.17613
2410131K14Rik_pips	6.14536
2410137M14Rik_pips	6.47021
2510009E07Rik_pips	5.29143
2510027J23Rik_pips	3.86374
2510048L02Rik_pips	4.78625
2600010E01Rik_pips	4.7378
2600011E07Rik_pips	3.14417
2610008E11Rik_pips	5.25371
2610020H08Rik_pips	6.28966
2610021K21Rik_pips	3.55153
2610024E20Rik_pips	5.34278
2610028H24Rik_pips	4.75117
2610034M16Rik_pips	3.5035
2610109H07Rik_pips	4.5498
2610110G12Rik_pips	4.95493
2610301F02Rik_pips	6.10252
2610305D13Rik_pips	2.74995
2610528J11Rik_pips	3.14562
2700049P18Rik_pips	7.22626
2810002G02Rik_pips	5.85819
2810002I04Rik_pips	4.33319
2810006K23Rik_pips	3.31733
2810007J24Rik_pips	2.85921
2810021B07Rik_pips	7.17811
2810022L02Rik_pips	5.00349
2810030E01Rik_pips	2.58151
2810046L04Rik_pips	6.58012
2810055F11Rik_pips	7.87586
2810408A11Rik_pips	5.41316
2810410C14Rik_pips	4.51623
2810426N06Rik_pips	5.69415
2810439F02Rik_pips	5.60617
2810487A22Rik_pips	3.8743
2900005J15Rik_pips	4.82865
2900006K08Rik_pips	3.85341
2900009I07Rik_pips	3.50088
2900024O10Rik_pips	5.95422
2900026A02Rik_pips	4.94742
2900046G09Rik_pips	4.55908
2900083I11Rik_pips	4.25407
2900092C05Rik_pips	2.70315
3-Mar_pips	3.59952
3110002H16Rik_pips	5.35239
3110003A22Rik_pips	5.10672
3110007F17Rik_pips	2.88982
3110009E18Rik_pips	7.30567
3110032G18Rik_pips	3.97267
3110035E14Rik_pips	3.97345
3110049J23Rik_pips	4.00718
3110057O12Rik_pips	4.18083
3110070M22Rik_pips	3.12499
3222401L13Rik_pips	3.79353
3300002I08Rik_pips	5.49777
3322402L07Rik_pips	4.18129
3830403N18Rik_pips	2.42774
4-Sep_pips	4.52152
4430402I18Rik_pips	4.0088
4432416J03Rik_pips	3.18484
4631422O05Rik_pips	4.643
4631426E05Rik_pips	3.71407
4632404H12Rik_pips	5.08122
4632433K11Rik_pips	4.13896
4732415M23Rik_pips	4.03708
4732454E20Rik_pips	2.85017
4732466D17Rik_pips	3.62861
4732473B16Rik_pips	5.55594
4733401H21Rik_pips	3.21525
4831426I19Rik_pips	6.39959
4832428D23Rik_pips	3.19722
4833401D15Rik_pips	5.61717
4833409A17Rik_pips	5.25114
4833413O15Rik_pips	2.29309
4833420G17Rik_pips	5.77806
4833422F24Rik_pips	3.79202
4833423E24Rik_pips	4.41751
4833424O15Rik_pips	3.24556
4833427G06Rik_pips	3.77081
4833430A08Rik_pips	3.52786
4833442J19Rik_pips	6.38938
4833446K15Rik_pips	2.39779
4921501E09Rik_pips	3.66257
4921504E06Rik_pips	3.97113
4921504I05Rik_pips	5.02437
4921506M07Rik_pips	3.93942
4921507P07Rik_pips	4.09657
4921510H08Rik_pips	2.52555
4921510J17Rik_pips	3.62998
4921511C04Rik_pips	3.88817
4921511H03Rik_pips	3.65692
4921513D23Rik_pips	7.35045
4921517D21Rik_pips	3.76544
4921517D22Rik_pips	4.69142
4921520G13Rik_pips	3.60404
4921521F21Rik_pips	3.95813
4921521K07Rik_pips	3.08236
4921522P10Rik_pips	2.77741
4921526F01Rik_pips	4.62408
4921530G04Rik_pips	4.49365
4921530L21Rik_pips	3.27881
4921536K21Rik_pips	3.48289
4921537P18Rik_pips	2.68074
4922502D21Rik_pips	2.52264
4922505E12Rik_pips	3.29269
4930402F06Rik_pips	2.95907
4930403C10Rik_pips	3.78119
4930404H21Rik_pips	2.84941
4930404N11Rik_pips	5.63341
4930408O21Rik_pips	4.0863
4930412F15Rik_pips	3.72213
4930417G10Rik_pips	3.91023
4930418G15Rik_pips	2.56493
4930425N13Rik_pips	2.76288
4930430A15Rik_pips	2.95445
4930432H15Rik_pips	3.30125
4930432K21Rik_pips	5.83314
4930434E21Rik_pips	4.33157
4930441O14Rik_pips	3.62623
4930449I24Rik_pips	3.25963
4930451C15Rik_pips	2.54725
4930452B06Rik_pips	4.77322
4930473A06Rik_pips	3.22013
4930474N05Rik_pips	3.15371
4930481F22Rik_pips	4.14562
4930483J18Rik_pips	4.52984
4930486G11Rik_pips	4.22014
4930500O09Rik_pips	5.44712
4930502E18Rik_pips	3.67552
4930503B20Rik_pips	3.07892
4930504E06Rik_pips	8.78551
4930504O13Rik_pips	3.51366
4930505A04Rik_pips	3.21907
4930507C10Rik_pips	3.39836
4930511H11Rik_pips	5.60828
4930511I11Rik_pips	4.03176
4930511M11Rik_pips	3.98497
4930519G04Rik_pips	2.76685
4930519N13Rik_pips	4.80872
4930519N16Rik_pips	3.96909
4930521A18Rik_pips	2.31826
4930522H14Rik_pips	3.2125
4930523C11Rik_pips	3.818
4930524B15Rik_pips	3.72434
4930526D03Rik_pips	3.26839
4930529M08Rik_pips	4.09052
4930534B04Rik_pips	5.16431
4930535B03Rik_pips	6.22559
4930538K18Rik_pips	3.47631
4930542C12Rik_pips	4.08995
4930542N07Rik_pips	2.36359
4930544G21Rik_pips	3.03506
4930544M13Rik_pips	3.66526
4930546H06Rik_pips	3.56512
4930547C10Rik_pips	2.53514
